05:38:04 start <WORKDIR>/runs/glm52_ruler_niah_single_2_131072_s00 (free 1447G, running 19)
05:38:24 start <WORKDIR>/runs/glm52_ruler_niah_single_2_131072_s01 (free 1432G, running 19)
05:38:44 start <WORKDIR>/runs/glm52_ruler_niah_single_2_131072_s02 (free 1363G, running 19)
05:39:05 start <WORKDIR>/runs/glm52_lb2_single-document_131072_s00 (free 1313G, running 19)
05:39:26 start <WORKDIR>/runs/glm52_lb2_code_131072_s01 (free 1253G, running 19)
05:41:12 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld05_b (free 1143G, running 19)
05:42:02 start <WORKDIR>/runs/glm52_ruler_niah_single_2_131072_s03 (free 1179G, running 19)
05:42:25 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld02 (free 1198G, running 19)
05:42:46 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld04 (free 1191G, running 19)
05:43:11 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld03_b (free 1217G, running 19)
05:47:19 start <WORKDIR>/runs/glm52_ruler_niah_single_2_131072_s01_b (free 990G, running 19)
05:47:39 start <WORKDIR>/runs/glm52_ruler_niah_single_2_131072_s02_b (free 982G, running 19)
05:48:33 start <WORKDIR>/runs/glm52_ruler_qa_1_131072_s00 (free 953G, running 19)
05:53:46 start <WORKDIR>/runs/glm52_lb2_code_131072_s01_b (free 1328G, running 19)
05:54:07 start <WORKDIR>/runs/glm52_lb2_long_131072_s02_b (free 1375G, running 17)
05:54:27 start <WORKDIR>/runs/glm52_lb2_long_131072_s03_b (free 1363G, running 16)
05:54:47 start <WORKDIR>/runs/glm52_ib_passkey_131072_s00_b (free 1374G, running 16)
05:55:07 start <WORKDIR>/runs/glm52_ib_number_string_131072_s00_b (free 1374G, running 16)
05:55:27 start <WORKDIR>/runs/glm52_ib_longbook_choice_eng_131072_s00_b (free 1374G, running 17)
05:55:47 start <WORKDIR>/runs/glm52_ib_longbook_qa_eng_131072_s00_b (free 1355G, running 17)
05:56:08 start <WORKDIR>/runs/glm52_ib_longbook_qa_eng_131072_ld00_b (free 1353G, running 18)
05:57:33 start <WORKDIR>/runs/glm52_ruler_qa_1_131072_s01 (free 1391G, running 19)
05:57:56 start <WORKDIR>/runs/glm52_ruler_niah_single_2_131072_s03_b (free 1369G, running 19)
05:58:16 start <WORKDIR>/runs/glm52_ruler_qa_1_131072_s00_b (free 1338G, running 19)
05:58:36 start <WORKDIR>/runs/glm52_ruler_qa_1_131072_s01_b (free 1408G, running 19)
05:59:28 start <WORKDIR>/runs/glm52_ruler_qa_1_131072_s02 (free 1378G, running 19)
05:59:48 start <WORKDIR>/runs/glm52_ruler_qa_1_131072_s03 (free 1418G, running 19)
06:03:36 start <WORKDIR>/runs/glm52_ib_longbook_qa_eng_131072_s00 (free 1496G, running 19)
06:05:03 start <WORKDIR>/runs/glm52_lb2_long_131072_s02 (free 1577G, running 17)
06:05:23 start <WORKDIR>/runs/glm52_lb2_long_131072_s03 (free 1584G, running 17)
06:05:43 start <WORKDIR>/runs/glm52_ib_passkey_131072_s00 (free 1572G, running 15)
06:06:03 start <WORKDIR>/runs/glm52_ib_number_string_131072_s00 (free 1576G, running 13)
06:06:23 start <WORKDIR>/runs/glm52_ib_longbook_choice_eng_131072_s00 (free 1616G, running 12)
06:06:44 start <WORKDIR>/runs/glm52_ib_longbook_qa_eng_131072_ld00 (free 1624G, running 12)
06:07:04 start <WORKDIR>/runs/glm52_ib_longbook_qa_eng_131072_ld01 (free 1620G, running 14)
06:07:24 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld00 (free 1605G, running 15)
06:07:44 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld01 (free 1562G, running 17)
06:08:04 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld03 (free 1493G, running 18)
06:08:25 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld05 (free 1421G, running 19)
06:15:08 start <WORKDIR>/runs/glm52_ruler_niah_single_2_131072_s00_b (free 931G, running 19)
06:15:28 start <WORKDIR>/runs/glm52_ruler_qa_1_131072_s02_b (free 898G, running 19)
06:16:21 start <WORKDIR>/runs/glm52_ruler_qa_1_131072_s03_b (free 801G, running 19)
06:16:41 start <WORKDIR>/runs/glm52_lb2_single-document_131072_s00_b (free 832G, running 19)
06:25:25 start <WORKDIR>/runs/glm52_ib_longbook_qa_eng_131072_ld01_b (free 1191G, running 19)
06:29:24 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld00_b (free 1328G, running 19)
06:30:16 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld01_b (free 1366G, running 19)
06:31:38 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld02_b (free 1369G, running 19)
06:35:35 start <WORKDIR>/runs/glm52_ib_longbook_sum_eng_131072_ld04_b (free 1379G, running 19)
QUEUE_DONE 06:57:44
